"","logFC","logCPM","PValue","FDR"
"YDR452W",-0.953363465391232,8.17611508891571,6.4148809280219e-71,2.35756835100035e-69
"YNL217W",1.38349725270264,7.17490818364907,6.79623889019762e-70,2.48230527859872e-68
"YIL117C",-1.26211545432139,7.58928803718702,4.26542981305806e-69,1.54837719042114e-67
"YGR027C",-0.494515638983126,10.3677696674055,4.73672474678271e-69,1.70897562967764e-67
"YER150W",1.54589809850903,6.72444208744362,1.06360452814374e-68,3.81415029880395e-67
"YMR189W",1.65048674823267,6.36168924360586,2.7036119912887e-68,9.636910935214e-67
"YEL044W",-1.41098715647836,7.42234956600383,3.21635261323623e-68,1.13959032410292e-66
"YLR155C",-0.982473400531492,8.03591668818157,7.75994944875713e-68,2.68512402855532e-66
"YLR157C",-0.982473400531492,8.03591668818157,7.75994944875713e-68,2.68512402855532e-66
"YLR158C",-0.982473400531492,8.03591668818157,7.75994944875713e-68,2.68512402855532e-66
"YLR160C",-0.982473400531492,8.03591668818157,7.75994944875713e-68,2.68512402855532e-66
"YGR086C",-0.461034769504762,10.1048123460005,8.2907605326253e-68,2.85211802741534e-66
"YLR249W",0.278363573922022,11.6018856648415,1.10166043446859e-67,3.76793340505817e-66
"YKL104C",-0.829786176186407,8.55656157081794,1.58842779754883e-67,5.40156740120483e-66
"YOR230W",0.795484869766509,8.71990083878113,5.6959688680054e-67,1.92588844525646e-65
"YLR332W",-0.936275914475348,8.13815756387979,6.45565294067099e-67,2.17034650283808e-65
"YGR159C",0.752693448984089,8.81895973242562,8.35960228125012e-67,2.79456309029135e-65
"YMR056C",-2.29029157609345,6.19142443738936,2.15824914738997e-66,7.17435966579013e-65
"YKL117W",-0.554020353414753,9.55066763853007,3.67036538349815e-66,1.21327106000886e-64
"YHR094C",-0.93514184109257,8.13054008179764,7.90332947749686e-66,2.59800002879716e-64
"YHL020C",-1.17944245654864,7.63685274854151,1.48868569741707e-65,4.86660401746786e-64
"YBR218C",0.709128412289904,8.767371176901,1.518325565538e-65,4.93622657763097e-64
"YOR227W",-1.14532531057301,7.66808826687162,8.9650194631999e-65,2.89868962643464e-63
"YGL062W",-0.946292680251168,8.26340212569847,4.94247488297567e-64,1.58938173274821e-62
"YBR048W",0.497976770208551,9.91426725740649,2.921275535942e-63,9.3433445114426e-62
"YHL050C",-1.85363028167758,7.1838580080805,7.4140227535615e-63,2.35853616305502e-61
"YNL134C",1.1037460557333,7.33562745833121,3.34458869568903e-62,1.05828509691936e-60
"YEL034W",0.438209148854278,10.0332695413769,4.70118957339665e-62,1.47962439924404e-60
"YDR044W",1.11907730586907,7.45494312216563,1.71710248481802e-61,5.37571185326362e-60
"YLR438W",1.90798938229723,6.14142153449089,8.8848368787432e-61,2.76692525323808e-59
"YMR116C",0.27402376135461,11.4015658252195,1.85758389057265e-60,5.75461983273212e-59
"YGL123W",0.29151290729806,11.4352264971249,7.28516047342444e-60,2.24511950631523e-58
"YHR026W",-0.818884921626038,8.33382045227188,2.30029984421038e-59,7.05226641357142e-58
"YGR244C",-0.765513889844406,8.49903793503979,5.55654440612483e-59,1.69474604386807e-57
"YER133W",-1.01125297128444,7.80326625190243,1.09237383915444e-58,3.31465436219324e-57
"YKR057W",0.537196353388089,9.82676945522103,1.31930473273758e-58,3.98281944061646e-57
"YJR009C",-0.198093718549297,13.2798729289211,3.28771781376206e-58,9.87483568732493e-57
"YDL137W",-0.714877673445421,8.65742501730913,6.36435366200642e-58,1.9019131625299e-56
"YLR256W",0.702885190047918,8.97316040853345,2.86018371727291e-57,8.50437540457479e-56
"YDR277C",1.21243906335851,7.02907448902351,2.96439574101208e-56,8.77016479978424e-55
"YPR008W",-1.0643613627529,7.63099459800501,5.7855452182101e-56,1.70313786349001e-54
"YLR056W",0.695516563838496,8.52315283252233,5.92764551594312e-56,1.73633061969482e-54
"YLR150W",0.308923496786096,10.9007089657965,2.44450801940951e-55,7.12519899056457e-54
"YGR138C",1.89603543847825,6.32006519238266,3.04841415912772e-55,8.84189538213663e-54
"YAL053W",-0.669322457338436,9.08066513958012,2.20532792599042e-54,6.36532943321234e-53
"YNL300W",1.65364645951925,6.12435354608494,2.80405430817736e-54,8.05416958324537e-53
"YNL327W",0.791088925819885,8.17913733039907,1.29154226777522e-53,3.6918142987565e-52
"YDR111C",-1.69403047338739,6.86495482552245,1.69040447030436e-53,4.80871310134177e-52
"YBR070C",-2.31191596198904,5.79126493374077,1.72484645966197e-53,4.88321363723439e-52
"YBR298C",-1.04111982348448,7.62345376700185,2.198795269976e-53,6.19536743449904e-52
"YJR010W",-1.83629166535129,6.62908007926903,3.44005708665379e-53,9.64683307191017e-52
"YKL109W",1.25161939567649,7.08716598575883,1.267626526219e-52,3.5379934696405e-51
"YDR216W",-1.66490580968083,6.97133969885946,1.49430282165242e-52,4.15107502146355e-51
"YLR192C",-0.705334317312342,8.59047242759123,1.84307820502867e-52,5.0960251117545e-51
"YLR264W",1.43224122531014,6.87060667338342,2.03953923299349e-52,5.61300169377788e-51
"YER001W",1.82503777826401,5.90519312832569,2.93512638352411e-52,8.04034389412601e-51
